HWY_NO,HWY_SFX_NO,HWY_LONG_NM,HWY_MED_NM,HWY_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID,ALT_HWY_NO
161,,Woodburn-Estacada Highway,WOODBURN-ESTACADA,,2004-12-17T14:17:06.160,isco017,161
162,,North Santiam Highway,NORTH SANTIAM,,2004-12-17T14:17:11.690,isco017,162
163,,Silver Creek Falls Highway,SILVER CREEK FALLS,,2004-12-17T14:17:19.487,isco017,163
164,,Jefferson Highway,JEFFERSON,,2016-07-11T15:46:45.660,Hwye85p,164
171,,Clackamas Highway,CLACKAMAS,,2004-12-17T14:17:28.860,isco017,171
172,,Eagle Creek-Sandy Highway,EAGLE CREEK-SANDY,,2021-10-14T10:10:59.303,tdb241,172
173,,Timberline Highway,TIMBERLINE,,2004-12-17T14:17:38.987,isco017,173
174,,Clackamas-Boring Highway,CLACKAMAS-BORING,,2003-03-27T00:00:00,ISCO866,174
180,,Eddyville-Blodgett Highway,EDDYVILLE-BLODGETT,,2003-03-27T00:00:00,ISCO866,180
181,,Siletz Highway,SILETZ,,2003-03-27T00:00:00,ISCO866,181
182,,Otter Rock Highway,OTTER ROCK,2006-12-31T00:00:00,2008-07-22T09:35:05.820,Hwye85p,182
189,,Dallas-Rickreall Highway,DALLAS-RICKREALL,,2008-04-23T09:07:33.807,Hwye85p,189
191,,Kings Valley Highway,KINGS VALLEY,,2003-03-27T00:00:00,ISCO866,191
193,,Independence Highway,INDEPENDENCE,,2003-03-27T00:00:00,ISCO866,193
194,,Monmouth Highway,MONMOUTH,,2003-03-27T00:00:00,ISCO866,194
200,,Territorial Highway,TERRITORIAL,,2003-03-27T00:00:00,ISCO866,200
201,,Alsea-Deadwood Highway,ALSEA-DEADWOOD,,2003-03-27T00:00:00,ISCO866,201
210,,Corvallis-Lebanon Highway,CORVALLIS-LEBANON,,2003-03-27T00:00:00,ISCO866,210
211,,Albany-Lyons Highway,ALBANY-LYONS,,2003-03-27T00:00:00,ISCO866,211
212,,Halsey-Sweet Home Highway,HALSEY-SWEET HOME,,2003-03-27T00:00:00,ISCO866,212
215,,Clear Lake-Belknap Springs Highway,CLEAR LAKE-BELKNAP SPRINGS,,2003-03-27T00:00:00,ISCO866,215
222,,Springfield-Creswell Highway,SPRINGFIELD-CRESWELL,,2021-11-03T07:54:42.637,hwye85p,222
225,,Mcvay Highway,MCVAY,,2003-03-27T00:00:00,ISCO866,225
226,,Goshen-Divide Highway,GOSHEN-DIVIDE,,2003-03-27T00:00:00,ISCO866,226
227,,Eugene-Springfield Highway,EUGENE-SPRINGFIELD,,2016-07-11T15:57:20.277,Hwye85p,227
228,,Springfield Highway,SPRINGFIELD,,2003-03-27T00:00:00,ISCO866,228
229,,Mapleton-Junction City Highway,MAPLETON-JUNCTION CITY,,2003-03-27T00:00:00,ISCO866,229
230,,Tiller-Trail Highway,TILLER-TRAIL,2010-12-31T00:00:00,2020-09-17T14:51:57.080,hwye85p,230
231,,Elkton-Sutherlin Highway,ELKTON-SUTHERLIN,,2003-03-27T00:00:00,ISCO866,231
232,,Crater Lake North Highway,CRATER LAKE NORTH,2000-12-31T00:00:00,2003-03-27T00:00:00,ISCO866,232
233,,West Diamond Lake Highway,WEST DIAMOND LAKE,,2003-03-27T00:00:00,ISCO866,233
234,,Oakland-Shady Highway,OAKLAND-SHADY,,2021-10-18T08:44:11.677,hwye85p,234
235,,Dillard Highway,DILLARD,2000-12-31T00:00:00,2003-03-27T00:00:00,ISCO866,235
236,,Drain-Yoncalla Highway,DRAIN-YONCALLA,2000-12-31T00:00:00,2003-03-27T00:00:00,ISCO866,236
237,,Myrtle Creek Highway,MYRTLE CREEK,2000-12-31T00:00:00,2003-03-27T00:00:00,ISCO866,237
240,,Cape Arago Highway,CAPE ARAGO,,2003-03-27T00:00:00,ISCO866,240
241,,Coos River Highway,COOS RIVER,,2003-03-27T00:00:00,ISCO866,241
242,,Powers Highway,POWERS,,2003-03-27T00:00:00,ISCO866,242
243,,Empire-Coos Bay Highway,EMPIRE-COOS BAY,1999-12-31T00:00:00,2008-08-22T18:18:46.210,Hwye85p,243
244,,Coquille-Bandon Highway,COQUILLE-BANDON,,2003-03-27T00:00:00,ISCO866,244
