RTE_TYP_CD,RTE_ID,RTE_NM,RTE_HIER_NO,RTE_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID
OR,370,OR 370,150,,2019-09-03T11:51:12.860,hwye85p
OR,38,OR 38,347,,2007-05-09T00:00:00,ISD849
OR,380,OR 380,145,,2019-09-03T11:51:12.877,hwye85p
OR,39,OR 39,345,,2007-05-09T00:00:00,ISD849
OR,402,OR 402,140,,2019-09-03T11:51:12.877,hwye85p
OR,410,OR 410,133,,2019-09-03T11:51:12.877,hwye85p
OR,413,OR 413,132,,2019-09-03T11:51:12.893,hwye85p
OR,414,OR 414,131,,2019-09-03T11:51:12.893,hwye85p
OR,42,OR 42,340,,2007-05-09T00:00:00,ISD849
OR,422,OR 422,130,,2019-09-03T11:51:12.893,hwye85p
OR,422S,OR 422S,125,,2019-09-03T11:51:12.893,hwye85p
OR,429,OR 429,124,,2019-09-03T11:54:34.140,hwye85p
OR,42S,OR 42S,339,,2007-05-09T00:00:00,ISD849
OR,43,OR 43,336,,2007-05-09T00:00:00,ISD849
OR,451,OR 451,123,,2019-09-03T11:54:34.200,hwye85p
OR,452,OR 452,122,,2019-09-03T11:54:34.200,hwye85p
OR,453,OR 453,121,,2019-09-03T11:54:34.200,hwye85p
OR,454,OR 454,120,,2019-09-03T11:54:34.217,hwye85p
OR,46,OR 46,333,,2007-05-09T00:00:00,ISD849
OR,47,OR 47,330,,2007-05-09T00:00:00,ISD849
OR,501,OR 501,118,,2019-09-03T11:54:34.217,hwye85p
OR,51,OR 51,327,,2007-05-09T00:00:00,ISD849
OR,52,OR 52,324,,2007-05-09T00:00:00,ISD849
OR,528,OR 528,116,,2019-09-03T11:54:34.217,hwye85p
OR,53,OR 53,321,,2007-05-09T00:00:00,ISD849
OR,540,OR 540,114,,2019-09-03T11:54:34.233,hwye85p
OR,542,OR 542,112,,2019-09-03T11:54:34.233,hwye85p
OR,551,OR 551,100,,2019-09-03T11:54:34.233,hwye85p
OR,569,OR 569,80,,2019-09-03T11:54:34.250,hwye85p
OR,58,OR 58,315,,2019-09-03T11:54:34.250,hwye85p
OR,6,OR 6,390,,2019-09-03T11:54:34.250,hwye85p
OR,62,OR 62,310,,2007-05-09T00:00:00,ISD849
OR,62B,OR 62B,311,,2020-05-14T10:17:41,hwye85p
OR,66,OR 66,305,,2007-05-09T00:00:00,ISD849
OR,69,OR 69,301,2008-05-31T00:00:00,2008-06-19T12:51:46.900,Hwye85p
OR,7,OR 7,389,,2007-05-09T00:00:00,ISD849
OR,70,OR 70,300,,2007-05-09T00:00:00,ISD849
OR,74,OR 74,295,,2007-05-09T00:00:00,ISD849
OR,78,OR 78,290,,2007-05-09T00:00:00,ISD849
OR,8,OR 8,387,,2007-05-09T00:00:00,ISD849
OR,82,OR 82,285,,2007-05-09T00:00:00,ISD849
OR,86,OR 86,280,,2007-05-09T00:00:00,ISD849
OR,86S,OR 86S,281,,2007-05-09T00:00:00,ISD849
OR,99,OR 99,275,,2007-05-09T00:00:00,ISD849
OR,99E,OR 99E,273,,2007-05-09T00:00:00,ISD849
OR,99EB,OR 99EB,271,,2007-05-09T00:00:00,ISD849
OR,99W,OR 99W,269,,2007-05-09T00:00:00,ISD849
US,101,US 101,456,,2002-03-20T00:00:00,CONVERT
US,101B,US 101B,455,,2002-03-20T00:00:00,CONVERT
US,197,US 197,445,,2002-03-20T00:00:00,CONVERT
US,199,US 199,440,,2002-03-20T00:00:00,CONVERT
US,20,US 20,486,,2007-05-09T00:00:00,ISD849
US,20B,US 20B,485,2017-12-31T00:00:00,2020-05-14T10:19:28.303,hwye85p
US,26,US 26,480,,2019-09-03T11:54:34.250,hwye85p
US,30,US 30,472,,2007-05-09T00:00:00,ISD849
US,30B,US 30B,471,,2019-09-03T11:54:34.263,hwye85p
US,30BY,US 30BY,470,,2007-05-09T00:00:00,ISD849
US,395,US 395,430,,2002-03-20T00:00:00,CONVERT
US,730,US 730,405,,2002-03-20T00:00:00,CONVERT
US,95,US 95,463,,2007-05-09T00:00:00,ISD849
US,95S,US 95S,464,,2007-05-09T00:00:00,ISD849
US,97,US 97,462,,2007-05-09T00:00:00,ISD849
US,97B,US 97B,461,,2007-05-09T00:00:00,ISD849
